ENTREZID	SYMBOL	ENSEMBL
165	7277	TUBA4A	ENSG00000127824
166	7298	TYMS	ENSG00000176890
167	7371	UCK2	ENSG00000143179
168	7388	UQCRH	ENSG00000173660
169	7465	WEE1	ENSG00000166483
170	8091	HMGA2	ENSG00000149948
171	8208	CHAF1B	ENSG00000159259
172	8243	SMC1A	ENSG00000072501
173	8318	CDC45	ENSG00000093009
174	8379	MAD1L1	ENSG00000002822
175	8438	RAD54L	ENSG00000085999
176	8454	CUL1	ENSG00000055130
177	8556	CDC14A	ENSG00000079335
178	8558	CDK10	ENSG00000185324
179	8673	VAMP8	ENSG00000118640
180	8697	CDC23	ENSG00000094880
181	8727	CTNNAL1	ENSG00000119326
182	8812	CCNK	ENSG00000090061
183	8814	CDKL1	ENSG00000100490
184	8881	CDC16	ENSG00000130177
185	8900	CCNA1	ENSG00000133101
186	9126	SMC3	ENSG00000108055
187	9133	CCNB2	ENSG00000157456
188	9134	CCNE2	ENSG00000175305
189	9156	EXO1	ENSG00000174371
190	9183	ZW10	ENSG00000086827
191	9184	BUB3	ENSG00000154473
192	9212	AURKB	ENSG00000178999
193	9232	PTTG1	ENSG00000164611
194	9319	TRIP13	ENSG00000071539
195	9371	KIF3B	ENSG00000101350
196	9406	ZRANB2	ENSG00000132485
197	9446	GSTO1	ENSG00000148834
198	9475	ROCK2	ENSG00000134318
199	9493	KIF23	ENSG00000137807
200	9521	EEF1E1	ENSG00000124802
201	9588	PRDX6	ENSG00000117592
202	9700	ESPL1	ENSG00000135476
203	9735	KNTC1	ENSG00000184445
204	9768	KIAA0101	ENSG00000166803
205	9787	DLGAP5	ENSG00000126787
206	9793	CKAP5	ENSG00000175216
207	9833	MELK	ENSG00000165304
208	9978	RBX1	ENSG00000100387
209	9991	PTBP3	ENSG00000119314
210	10111	RAD50	ENSG00000113522
211	10112	KIF20A	ENSG00000112984
212	10274	STAG1	ENSG00000118007
213	10297	APC2	ENSG00000115266
214	10382	TUBB4A	ENSG00000104833
